lights,Press_mm_hg,Windspeed,Visibility,Tdewpoint,T-in,RH-in,rv,RH-out,Appliances
0,739.65,20.9999999988,40.0,3.77,19.100416665,47.74645833375,38.31553353,93.848333335,50
0,739.7,20.400000001200002,40.0,3.73,19.080416666250002,47.748333333750004,4.212345718,93.6,40
0,739.75,19.8,40.0,3.7,19.0675,47.76125,43.7660665,93.363333335,40
0,739.8,19.1999999988,40.0,3.67,19.062916667499998,47.803958333749996,16.95364689,93.08,40
0,739.85,18.6000000012,40.0,3.63,19.04208333375,47.78875,41.97201751,92.78,60
0,739.9,18.0,40.0,3.6,19.03,47.8183333325,17.33417446,92.56333333500001,50
0,739.9666667,17.3999999988,40.0,3.68,19.009895833749997,47.821041666250004,16.68874654,92.83333333499999,50
0,740.0333333,16.8000000012,40.0,3.77,18.97625,47.7802083325,23.81756225,92.94833333,40
0,740.1,16.2,40.0,3.85,18.96583333375,47.7775,44.60991679,93.511666665,40
0,740.1666667,15.5999999988,40.0,3.93,18.978333333749998,47.797916667500004,43.21697353,94.19666667,40
0,740.2333333,15.000000001200002,40.0,4.02,18.97416666625,47.79083333375,19.49947717,94.66666666500001,40
0,740.3,14.4,40.0,4.1,18.93166666625,47.82125,38.86603494,95.265,50
10,740.4333333,15.000000001200002,38.16666667,4.1,18.91875,47.861875000000005,48.03089986,95.24333333499999,70
0,740.5666667,15.5999999988,36.33333333,4.1,18.89708333375,47.930416667500005,21.73297424,95.181666665,40
0,740.7,16.2,34.5,4.1,18.896666666250002,47.97875000125,35.62573394,94.95,30
10,740.8333333,16.8000000012,32.66666667,4.1,18.896,47.97833333375,19.99971844,94.81666666999999,20
0,740.9666667,17.3999999988,30.83333333,4.1,18.88125,48.0198958325,16.26760759,94.63333333,30
10,741.1,18.0,29.0,4.1,18.861666666249995,48.0483333325,37.8543574,94.46666666499999,40
10,741.2166667,18.0,30.83333333,4.05,18.865833333749997,48.10625,10.13461276,94.37833333500001,50
20,741.3333333,18.0,32.66666667,4.0,18.836666667499998,48.015,35.55606112,94.211666665,60
20,741.45,18.0,34.5,3.95,18.8234375,47.86958333375,6.084596051,94.045,60
20,741.5666667,18.0,36.33333333,3.9,18.79208333375,47.807500000000005,12.2744257,93.87833333500001,70
30,741.6833333,18.0,38.16666667,3.85,18.756666667500003,47.79687500125,7.165218971,93.711666665,60
20,741.8,18.0,40.0,3.8,18.75458333375,47.718333333749996,11.98147075,93.578333335,140
30,741.8833333,18.0,40.0,3.73,18.75458333375,47.67791666625,2.946718864,93.513333335,110
10,741.9666667,18.0,40.0,3.67,18.77319444375,47.82513888875,32.11441293,93.38,90
0,742.05,18.0,40.0,3.6,18.755,47.541041667500004,43.81346063,93.228333335,60
0,742.1333333,18.0,40.0,3.53,18.72666666625,47.30500000125,38.94573387,92.89500000000001,60
0,742.2166667,18.0,40.0,3.47,18.71416666625,47.165625,39.86544129,92.596666665,60
0,742.3,18.0,40.0,3.4,18.7016666675,46.97041666625,22.76372268,92.725,50
0,742.3833333,18.0,38.16666667,3.48,18.67583333375,46.79750000125,20.5042041,92.596666665,60
0,742.4666667,18.0,36.33333333,3.57,18.671250000000004,46.6279166675,40.54351214,92.83333333499999,50
0,742.55,18.0,34.5,3.65,18.6545833325,46.39020833375,30.24666451,93.0,30
0,742.6333333,18.0,32.66666667,3.73,18.632083332500002,46.092916665000004,32.7361964,93.198333335,40
0,742.7166667,18.0,30.83333333,3.82,18.62875,45.94833333375,17.6598636,93.39833333499999,30
10,743.05,18.0,34.5,4.05,18.696666666250003,46.150416665,10.66040676,92.5,50
0,743.1333333,18.0,36.33333333,4.1,18.769166665,45.97958333375001,6.468617404,92.113333335,60
0,743.2166667,18.0,38.16666667,4.15,18.78125,45.8154166675,23.90590172,91.56333333,60
0,743.3,18.0,40.0,4.2,18.792499998750003,45.6910416675,46.20372349,91.095,50
0,743.3333333,19.1999999988,38.0,4.17,18.84125,45.59875000125,29.93804836,90.67833333499999,50
0,743.3666667,20.400000001200002,36.0,4.13,18.8304166675,45.473749999999995,48.80853475,89.67833333,50
0,743.4,21.6,34.0,4.1,18.83354166625,45.4208333325,36.58962559,89.031666665,60
0,743.4333333,22.7999999988,32.0,4.07,18.830833333749997,45.276250000000005,17.8363456,88.205833335,60
0,743.4666667,24.0000000012,30.0,4.03,18.83291666625,45.16645833375,21.57368453,86.531666665,60
0,743.5,25.2,28.0,4.0,18.85666666625,45.09375,7.410578034,84.948333335,60
0,743.5,25.2,34.0,4.05,18.866979166249997,44.9871527775,5.159211787,81.55,170
0,743.5,25.2,38.0,4.08,18.82125,44.98349999999999,32.00505226,80.83333333,90
0,743.5,25.2,40.0,4.1,18.8379166675,45.20125,49.591931,80.0,60
0,743.5,26.3999999988,40.0,4.03,18.786666667499997,45.116015624999996,24.21747622,80.013333335,130
0,743.5,27.0,40.0,4.0,18.76583333375,45.01104166499999,8.672116743,79.39500000000001,140
0,743.5,28.1999999988,40.0,3.93,18.753124999999997,44.83012896875,22.69477446,79.698333335,50
0,743.5,28.8,40.0,3.9,18.769722222499997,44.767250000000004,25.55848919,79.098333335,60
0,743.55,27.0,40.0,3.73,18.78291666625,44.690708333749996,10.37725566,78.245,60
0,743.6,25.2,40.0,3.57,18.78291666625,44.62541666625,11.43290714,77.89833333,60
0,743.75,19.8,40.0,3.07,18.7104166675,44.5108333325,3.853219014,77.83,70
0,743.8,18.0,40.0,2.9,18.70322916625,44.4791666675,1.777028979,77.745,50
0,743.8166667,17.3999999988,40.0,3.0,18.67916666625,44.48375000000001,32.13977461,77.87833333500001,40
0,743.8333333,16.8000000012,40.0,3.1,18.67416666625,44.4475,46.43075998,78.53,40
0,743.85,16.2,40.0,3.2,18.72447916625,44.4196875,29.90462112,80.766666665,30
0,743.8666667,15.5999999988,40.0,3.3,18.797500000000003,44.37124999875001,28.0450374,80.513333335,30
0,743.8833333,15.000000001200002,40.0,3.4,18.84895833375,44.27187499875,26.3013862,78.91666666500001,30
0,743.9,14.4,40.0,3.5,18.87607142875,44.13659226125,49.25476119,78.566666665,30
0,743.95,16.2,38.16666667,3.3,18.85343434375,44.091944445,25.38209112,78.08333333,40
0,744.0,18.0,36.33333333,3.1,18.81037878875,44.00004166625,34.13940393,76.713333335,50
0,744.05,19.8,34.5,2.9,18.79446428625,43.96541666625001,30.07706088,76.0,40
0,744.1,21.6,32.66666667,2.7,18.73660416625,43.881870264999996,11.94343389,76.516666665,40
0,744.15,23.400000000000002,30.83333333,2.5,18.714867788750002,43.823567708750005,12.90829633,76.26666667,40
0,744.2,25.2,29.0,2.3,18.694444445,43.79588383875,36.46548117,75.94666666500001,60
10,744.2833333,25.2,30.83333333,2.43,18.67375,43.772869317499996,22.62854157,77.113333335,60
40,744.7,25.2,40.0,3.1,18.75541666625,44.358541666250005,30.73224858,84.21666666499999,80
30,744.75,24.599999998799998,40.0,3.15,18.78375,44.358333336250006,27.85797694,85.12833333500001,90
20,744.8,24.0000000012,40.0,3.2,18.79520833375,44.37791666625001,16.43886595,86.031666665,70
10,744.85,23.400000000000002,40.0,3.25,18.80291666625,44.346666667499996,22.65657227,87.228333335,40
0,744.9,22.7999999988,40.0,3.3,18.84375,44.32270833374999,25.02204863,88.331666665,40
0,744.95,22.200000001200003,40.0,3.35,18.812291666249997,44.262395833750006,9.043318057,89.316666665,30
0,745.0,21.6,40.0,3.4,18.796249999999997,44.18958333375,26.48153014,90.213333335,50
0,745.0333333,22.200000001200003,40.0,3.4,18.7854166675,44.1225,3.763787285,90.78,50
0,745.0666667,22.7999999988,40.0,3.4,18.75375,44.10958333375,13.88779663,91.28,60
0,745.1,23.400000000000002,40.0,3.4,18.736666666250002,44.135,10.63497596,91.7,50
0,745.1333333,24.0000000012,40.0,3.4,18.729166666250002,44.155833333749996,14.23952405,91.796666665,60
0,745.1666667,24.599999998799998,40.0,3.4,18.707500000000003,44.16,44.75470515,91.815,60
0,745.2,25.2,40.0,3.4,18.707499999999996,44.14708333375,22.31176617,92.13624999999999,60
0,745.3166667,24.599999998799998,40.0,3.4,18.6866666675,44.105416666249994,38.99924449,92.563333335,50
0,745.4333333,24.0000000012,40.0,3.4,18.647916666249998,44.06291666624999,44.03095174,92.761666665,50
0,745.55,23.400000000000002,40.0,3.4,18.643749999999997,44.03999999999999,20.65621048,92.595,50
0,745.6666667,22.7999999988,40.0,3.4,18.64,44.030000001249995,3.190424026,92.363333335,50
0,745.7833333,22.200000001200003,40.0,3.4,18.604999999999997,44.00583333374999,16.77437458,92.13333333,50
0,745.9,21.6,40.0,3.4,18.583750000000002,43.96374999999999,36.18629733,92.183333335,60
0,745.95,22.200000001200003,38.16666667,3.42,18.58,43.94208333375,16.88076667,92.19666666500001,60
0,746.0,22.7999999988,36.33333333,3.43,18.546666666249997,43.9275,31.52070612,92.131666665,40
0,746.05,23.400000000000002,34.5,3.45,18.53416666625,43.887083333750006,42.0307277,91.948333335,30
20,746.1,24.0000000012,32.66666667,3.47,18.493680555,43.853125000000006,42.80658324,91.7,30
10,746.15,24.599999998799998,30.83333333,3.48,18.49681818125,43.92441288,19.56796405,91.38,30
0,746.2,25.2,29.0,3.5,18.52159090875,44.03977904125,19.02469428,91.198333335,40
10,746.2666667,24.599999998799998,30.83333333,3.4,18.52450520875,44.2787847225,44.7722713,90.961666665,50
0,746.3333333,24.0000000012,32.66666667,3.3,18.536936275000002,44.50228408000001,32.21578815,90.64666667,50
0,746.4,23.400000000000002,34.5,3.2,18.53049479125,44.711208965,37.05393244,90.146666665,50
0,746.4666667,22.7999999988,36.33333333,3.1,18.5379166675,44.913333333749996,30.26517233,89.48333333,40
0,746.5333333,22.200000001200003,38.16666667,3.0,18.530151515,45.09034090750001,45.15408057,88.568333335,50
0,746.6,21.6,40.0,2.9,18.53119791625,45.23328125,14.68650775,87.4,40
0,746.7333333,22.7999999988,40.0,2.87,18.5157251075,45.31880952375,9.563005494,86.21666666499999,40
0,746.8666667,24.0000000012,40.0,2.83,18.48388888875,45.450860614999996,44.32254717,85.01666667,40
0,747.0,25.2,40.0,2.8,18.485625,45.56048611125,25.16697429,83.715,40
0,747.1333333,26.3999999988,40.0,2.77,18.494999999999997,45.67208333375,43.85287715,82.97833333,50
0,747.2666667,27.6000000012,40.0,2.73,18.497291666249996,45.78820833374999,9.459681122,82.24666667,50
0,747.4,28.8,40.0,2.7,18.48083333375,45.871197916250004,37.90515262,81.28,50
0,747.5333333,28.8,37.83333333,2.83,18.475,45.930297618750004,36.22494463,81.14500000000001,30
0,747.6666667,28.8,35.66666667,2.97,18.479791666249998,46.03770833375,47.18624091,81.67833333499999,20
0,747.8,28.8,33.5,3.1,18.47386363625,46.14352777875,27.38232935,84.016666665,30
0,747.9333333,28.8,31.33333333,3.23,18.4803472225,46.19388888875,35.58719339,85.94666666500001,20
0,748.0666667,28.8,29.16666667,3.37,18.475238095,46.27505952375,19.44525499,87.06166667,40
0,748.2,28.8,27.0,3.5,18.441845237499997,46.31958333375,5.043656309,87.16499999999999,50
0,748.3166667,28.8,26.0,3.57,18.43541666625,46.38833333375,46.36510443,87.413333335,60
0,748.4333333,28.8,25.0,3.63,18.43541666625,46.482916666250006,14.16162502,88.233333335,50
0,748.55,28.8,24.0,3.7,18.425694444999998,46.629444443749996,29.52865794,89.413333335,40
0,748.6666667,28.8,23.0,3.77,18.41875,46.71375,5.518030247,89.985,40
0,748.7833333,28.8,22.0,3.83,18.43125,46.891302082500005,42.02535161,90.16666666500001,50
0,748.9,28.8,21.0,3.9,18.43408854125,47.0465959825,15.89818422,90.131666665,40
0,749.0833333,28.8,21.5,3.88,18.434375,47.1203472225,39.14256685,89.92833333499999,40
0,749.2666667,28.8,22.0,3.87,18.4325,47.185,13.37541037,89.36333333,50
0,749.45,28.8,22.5,3.85,18.426875,47.21041666625,10.93226424,88.663333335,50
0,749.6333333,28.8,23.0,3.83,18.4225,47.247118054999994,25.83984182,87.863333335,50
0,749.8166667,28.8,23.5,3.82,18.42642628125,47.241907052500004,13.4475296,87.66666666500001,40
0,750.0,28.8,24.0,3.8,18.40298611125,47.256597221250004,9.058416367,87.16666666500001,30
0,750.2,28.8,24.0,3.78,18.39333333375,47.283090277499994,25.92880687,87.03,20
0,750.4,28.8,24.0,3.77,18.391180555000002,47.27201388875001,28.13914679,86.88,20
0,750.6,28.8,24.0,3.75,18.39638888875,47.271319443749995,6.457842723,86.816666665,20
0,750.8,28.8,24.0,3.73,18.382013888750002,47.26249999875,12.8183802,86.098333335,50
0,751.0,28.8,24.0,3.72,18.36501893875,47.2515277775,35.8967638,85.62833333500001,50
0,751.2,28.8,24.0,3.7,18.345539215,47.271501067500004,48.07049682,84.995,50
0,751.3166667,28.8,23.66666667,3.68,18.359269161249998,47.27604166625,5.007042328,84.68166667,40
0,751.4333333,28.8,23.33333333,3.67,18.362916666249998,47.29263888999999,38.16113448,84.736666665,40
0,751.55,28.8,23.0,3.65,18.363125,47.306458333749994,47.39831773,84.61500000000001,50
0,751.6666667,28.8,22.66666667,3.63,18.355138888749998,47.33125000125,40.93173442,84.765,40
0,751.7833333,28.8,22.33333333,3.62,18.363472222499997,47.34076388875,15.41461654,84.93,50
0,751.9,28.8,22.0,3.6,18.350703125,47.338437500000005,32.47897302,84.816666665,50
0,752.05,28.1999999988,22.16666667,3.57,18.33375,47.3466309525,47.66777256,84.41499999999999,50
0,752.2,27.6000000012,22.33333333,3.53,18.315624999999997,47.36,47.6866325,84.215,40
0,752.35,27.0,22.5,3.5,18.327499999999997,47.36568181875,16.99896017,84.411666665,40
0,752.5,26.3999999988,22.66666667,3.47,18.322499999999998,47.3846428575,13.12370551,84.481666665,50
0,752.65,25.8000000012,22.83333333,3.43,18.32708333375,47.403863636249994,8.272696659,84.316666665,20
0,752.8,25.2,23.0,3.4,18.319027778749998,47.4027573525,16.10840283,84.183333335,20
0,752.9833333,24.599999998799998,25.83333333,3.4,18.310624998749997,47.42501602625,25.50626033,84.21666666499999,50
10,753.1666667,24.0000000012,28.66666667,3.4,18.281517857499995,47.4616666675,46.19842357,84.3,30
10,753.35,23.400000000000002,31.5,3.4,18.2912391775,47.558720915,25.54798492,84.33,50
10,753.5333333,22.7999999988,34.33333333,3.4,18.478749999999998,51.46417613625,12.88106304,84.316666665,50
10,753.9,21.6,40.0,3.4,18.487083333749997,51.412916665,20.89281292,84.16666666500001,110
10,753.9666667,20.9999999988,36.66666667,3.4,18.55916666625,49.8725,42.70007511,84.258333335,80
0,754.0333333,20.400000001200002,33.33333333,3.4,18.485,48.79291666625001,17.36153389,84.366666665,50
0,754.1,19.8,30.0,3.4,18.414375,48.1560416675,6.572116027,84.546666665,50
0,754.1666667,19.1999999988,26.66666667,3.4,18.36479166625,47.494999998750004,18.72434323,84.78166666999999,50
0,754.2333333,18.6000000012,23.33333333,3.4,18.33375,47.18434895875,31.57101142,84.961666665,40
0,754.3,18.0,20.0,3.4,18.30333333375,46.90529166625,19.50394668,84.948333335,40
0,754.45,17.3999999988,21.5,3.37,18.26875,46.653958333750005,34.48139244,84.58166667,30
30,755.55,16.2,34.5,3.15,18.5225,46.002916666249995,7.130204106,83.33,60
20,755.6666667,16.8000000012,36.33333333,3.13,18.546666666249997,45.93375000125,20.75238127,83.733333335,70
30,755.7833333,17.3999999988,38.16666667,3.12,18.5483333325,45.831666667499995,10.54628753,83.99666666499999,110
20,755.9,18.0,40.0,3.1,18.54375,45.7616666675,21.43751854,84.195,90
20,756.0333333,18.0,38.16666667,2.98,18.531666666249997,45.76208333500001,6.63449876,83.88333333,60
20,756.1666667,18.0,36.33333333,2.87,18.52958333375,45.732708333750004,23.00482229,83.19666667,70
20,756.3,18.0,34.5,2.75,18.5175,45.675833332500005,47.14785296,82.19666666500001,80
0,756.4333333,18.0,32.66666667,2.63,18.51,45.54916666625,38.09869308,80.21666666499999,60
10,756.5666667,18.0,30.83333333,2.52,18.507916667499998,45.50541666625,46.64549144,78.51666667,40
10,756.7,18.0,29.0,2.4,18.478333333749998,45.38791666625,23.53392488,78.363333335,30
10,756.7833333,18.6000000012,30.83333333,2.35,18.42125,45.09312500125,30.17940338,78.08333333499999,70
10,756.8666667,19.1999999988,32.66666667,2.3,18.40541666625,45.06500000125,24.24948403,77.73,50
10,756.95,19.8,34.5,2.25,18.3833333325,44.95708333375,5.440315825,76.896666665,80
10,757.0333333,20.400000001200002,36.33333333,2.2,18.37625,44.931666667500004,12.38634165,75.613333335,80
0,757.1166667,20.9999999988,38.16666667,2.15,18.3595833325,44.9129166675,24.92572654,74.316666665,50
0,757.2,21.6,40.0,2.1,18.35125,44.842083333750004,18.6433354,72.96666666499999,40
0,757.2833333,20.9999999988,38.16666667,2.07,18.316249999999997,44.59260416749999,46.73456851,71.846666665,50
0,757.3666667,20.400000001200002,36.33333333,2.03,18.29229166625,44.2304166675,26.19930389,71.31666666999999,40
0,757.45,19.8,34.5,2.0,18.295,43.99791666625,15.85723358,70.816666665,40
0,757.5333333,19.1999999988,32.66666667,1.97,18.27104166625,43.81614583375001,13.89830147,71.116666665,50
0,757.6166667,18.6000000012,30.83333333,1.93,18.274166667499998,43.647916665,39.37702539,70.50333333500001,30
0,757.7,18.0,29.0,1.9,18.23708333375,43.45041666624999,35.12312563,70.013333335,30
0,757.6833333,18.0,28.66666667,1.9,18.21583333375,43.29208333374999,8.251381933,69.36333333,20
0,757.6666667,18.0,28.33333333,1.9,18.198750000000004,43.1633333325,3.222876939,68.93,20
0,757.65,18.0,28.0,1.9,18.181666667500004,43.051875,37.73528108,68.483333335,50
0,757.6333333,18.0,27.66666667,1.9,18.17333333375,42.9879166675,31.02050165,67.65,40
0,757.6166667,18.0,27.33333333,1.9,18.18333333375,42.92375000125,8.478838333,66.03,50
0,757.6,18.0,27.0,1.9,18.169583333749998,42.81541666625,3.110702615,65.381666665,40
0,757.55,18.6000000012,29.16666667,1.75,18.14958333375,42.69499999999999,5.451463431,65.88166667,60
0,757.5,19.1999999988,31.33333333,1.6,18.148333332500002,42.62645833375,19.08581759,66.04833333,40
0,757.45,19.8,33.5,1.45,18.181666666250003,42.544999999999995,8.465545729,65.515,40
0,757.4,20.400000001200002,35.66666667,1.3,18.215000000000003,42.462916666249996,14.9326271,64.2,50
0,757.35,20.9999999988,37.83333333,1.15,18.24875,42.33208333375,9.610476752,62.866666665,40
0,757.3,21.6,40.0,1.0,18.308750000000003,42.229166667499996,12.85850107,60.846666665,40
0,757.3166667,20.400000001200002,40.0,0.817,18.35666666625,42.06291666625,9.061591141,60.68,30
0,757.3333333,19.1999999988,40.0,0.633,18.389583333749997,41.914270832499994,23.86568548,60.028333335,30
0,757.35,18.0,40.0,0.45,18.4389583325,41.77062499875,38.53685214,58.931666665,30
0,757.3666667,16.8000000012,40.0,0.267,18.5017708325,41.61354166625,1.38935612,58.6225,40
0,757.3833333,15.5999999988,40.0,0.0833,18.54458333375,41.45208333375,26.36553885,57.911666665,80
0,757.4,14.4,40.0,-0.1,18.5920833325,41.50083333375,44.01595345,57.548333334999995,70
0,757.3833333,13.7999999988,40.0,-0.0667,18.633749999999996,41.54208333375,18.6531686,58.23333333,80
0,757.3666667,13.2000000012,40.0,-0.0333,18.638333333749998,41.55833333375,2.397956583,59.09666667,70
0,757.35,12.6,40.0,0.0,18.62708333375,41.6495833325,6.931412336,59.815,80
0,757.3333333,11.9999999988,40.0,0.0333,18.608333332500003,41.735625,16.07460602,61.045,80
0,757.3166667,11.4000000012,40.0,0.0667,18.595000000000002,41.76291666625,7.741580566,62.245,100
0,757.3,10.8,40.0,0.1,18.5741666675,41.68625,6.611408608,63.348333335,90
10,757.3,10.8,40.0,0.0833,18.554166666249998,41.6175,11.06529639,64.566666665,100
0,757.3,10.8,40.0,0.0667,18.55458333375,41.5470833325,11.31903981,65.4,90
0,757.3,10.8,40.0,0.05,18.557499999999997,41.512499999999996,6.570826692,66.711666665,110
10,757.3,10.8,40.0,0.0333,18.52583333375,41.5,49.07817302,67.848333335,90
0,757.3,10.8,40.0,0.0167,18.525416667499996,41.49458333375,16.35068634,69.513333335,100
10,757.3,10.8,40.0,0.0,18.538333333749996,41.5141666675,25.34697485,71.383333335,100
0,757.3,10.8,38.16666667,0.167,18.52249999875,41.473749999999995,34.07212574,73.113333335,110
10,757.3,10.8,36.33333333,0.333,18.514583333749997,41.48083333375,4.95845516,74.57374999999999,100
10,757.3,10.8,34.5,0.5,18.511875,41.5076041675,5.945127911,76.11500000000001,90
10,757.3,10.8,32.66666667,0.667,18.5075,41.54083333375,2.521982975,77.911666665,90
0,757.3,10.8,29.0,1.0,18.49875,41.628750000000004,33.68561164,80.983333335,140
10,757.2333333,11.9999999988,29.0,1.07,18.506666666250002,41.7925,4.742892773,81.73333333,100
20,757.1666667,13.2000000012,29.0,1.13,18.530416666249998,41.84708333375001,24.62980604,82.198333335,110
20,756.9,18.0,29.0,1.4,18.618333332499997,45.3867708325,8.817535685,84.181666665,150
20,756.9,18.0,36.33333333,1.4,18.8495833325,47.3358333325,7.057216286,86.328333335,130
20,756.9,18.0,38.16666667,1.4,18.85666666625,47.2995833325,9.66549312,86.64833333,130
20,756.9,18.0,40.0,1.4,18.84208333375,47.20541666625,42.06758584,86.64750000000001,110
10,756.2333333,19.1999999988,32.66666667,0.933,19.059583333750002,46.65,33.23091249,87.71666666499999,170
0,756.15,19.8,34.5,0.95,19.0625,46.4004166675,15.62448282,87.948333335,60
0,756.0666667,20.400000001200002,36.33333333,0.967,19.030625,46.2254166675,20.28448064,87.848333335,30
0,755.9833333,20.9999999988,38.16666667,0.983,18.9775,46.039166666250004,49.80386858,87.761666665,30
0,755.9,21.6,40.0,1.0,18.931875,46.01927083375001,42.75411782,87.698333335,30
0,755.8333333,20.9999999988,38.16666667,1.03,18.8729166675,45.97916666625,47.6774198,88.078333335,40
0,755.7666667,20.400000001200002,36.33333333,1.07,18.82624999875,45.96958333375,40.61525462,88.295,50
0,755.7,19.8,34.5,1.1,18.796249999999997,46.01791666625,39.10910579,88.53,50
0,755.6333333,19.1999999988,32.66666667,1.13,18.782083335000003,45.99416666625,13.39390645,88.79625,40
0,755.5666667,18.6000000012,30.83333333,1.17,18.732499999999998,45.972916667499995,38.10757648,89.095,40
0,755.5,18.0,29.0,1.2,18.72833333375,46.0466666675,49.31557946,89.25,50
0,755.3666667,18.0,28.66666667,1.23,18.695416666249997,46.043750001250004,14.68027745,89.3,50
0,755.2333333,18.0,28.33333333,1.27,18.66125,46.041666667499996,19.96755535,89.261666665,40
